sku,name,price,stock,source_path
NAV-001,Brass Sextant,42.00,7,/catalogue/page-1.html
NAV-002,Mariner Astrolabe,128.50,2,/catalogue/page-1.html
STA-001,Ink & Quill Set,12.75,31,/catalogue/page-1.html
STA-002,Vellum Notebook,9.99,18,/catalogue/page-1.html
NAV-003,Brass Compass,,4,/catalogue/page-2.html
STA-003,Sealing Wax Sticks,4.20,64,/catalogue/page-2.html
TOO-001,Bookbinder's Awl,6.50,12,/catalogue/page-2.html
TOO-002,Bone Folder,5.25,23,/catalogue/page-2.html
TOO-003,Linen Thread Spool,3.80,45,/catalogue/page-3.html
MAP-001,Coastal Chart Portfolio,88.00,3,/catalogue/page-3.html
MAP-002,Star Atlas,64.40,5,/catalogue/page-3.html
MAP-003,Harbour Plan Set,27.15,9,/catalogue/page-3.html
